Nº,Nombre,Imagen,Precio,Float,Estado,Pagina
1,AWP | Dragon Lore,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot621FAR17P7NdTRH-t26q4SZlvD7PYTQgXtu5Mx2gv2PrdSijAWwqkVtN272JIGdJw46YVrYqVO3xLy-gJC9u5vByCBh6ygi7WGdwUKTYdRD8A/280x210,11085.67,0.017088953406,Factory New,csfloat
2,AWP | Dragon Lore,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot621FAR17P7NdTRH-t26q4SZlvD7PYTQgXtu5Mx2gv2PrdSijAWwqkVtN272JIGdJw46YVrYqVO3xLy-gJC9u5vByCBh6ygi7WGdwUKTYdRD8A/280x210,11087.61,0.020243898034,Factory New,csfloat
3,AWP | Dragon Lore,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot621FAR17P7NdTRH-t26q4SZlvD7PYTQgXtu5Mx2gv2PrdSijAWwqkVtN272JIGdJw46YVrYqVO3xLy-gJC9u5vByCBh6ygi7WGdwUKTYdRD8A/280x210,11525.28,0.020229114220,Factory New,csfloat
4,AWP | Dragon Lore,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot621FAR17P7NdTRH-t26q4SZlvD7PYTQgXtu5Mx2gv2PrdSijAWwqkVtN272JIGdJw46YVrYqVO3xLy-gJC9u5vByCBh6ygi7WGdwUKTYdRD8A/280x210,11650.76,0.021735250950,Factory New,csfloat
5,Stiletto Knife | Fade,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJfwOfBfThW-NOJlYG0kfbwNoTdn2xZ_Isk2-iW99qh2wax_0ZtZ2HzLdKQcQ89MArSrFe8xbzogce5tM6dwHtmpGB8soikElfs/280x210,155.25,0.048164289445,StatTrak™ Factory New,csfloat
6,UMP-45 | Fade,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpoo7e1f1Jf0vL3dzxG6eOjmZC0m_7zO6-fwDgEvZ0i2-vEpoit0Qbi80VuNW-gcNPBcFc3aAmFqATtxOm618Dp6YOJlyXjjBJ4uQ/280x210,88.03,0.000915470475,Factory New,csfloat
7,Specialist Gloves | Crimson Kimono,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DAQ1h3LAVbv6mxFABs3OXNYgJR_Nm1nYGHnuTgDLDYm2Rf5_p1g-jM-oLxm2umrhcDPjynfcPIbAM9ZVvZ_1i_x7vtgMW8vZXKzXVh6SQr5CvfyxCwhRgZbuZm0PHLTw6AR_sebbIuqqc/280x210,2440.91,0.152189657092,Field-Tested,csfloat
8,Glock-18 | Synth Leaf,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgposbaqKAxf2-r3fThD6uO0mJWOqPv9NLPF2D4D6ZNyjL2VoNjz3Vfm-UJlZWrxdYSXd1Q_MF_R_AO_xObvh8Tu7c7XiSw0XxPCdIg/280x210,120.12,0.004160725512,Factory New,csfloat
9,Specialist Gloves | Crimson Kimono,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DAQ1h3LAVbv6mxFABs3OXNYgJR_Nm1nYGHnuTgDLDYm2Rf5_p1g-jM-oLxm2umrhcDPjynfcPIbAM9ZVvZ_1i_x7vtgMW8vZXKzXVh6SQr5CvfyxCwhRgZbuZm0PHLTw6AR_sebbIuqqc/280x210,2431.5,0.165484726429,Field-Tested,csfloat
10,Specialist Gloves | Crimson Kimono,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DAQ1h3LAVbv6mxFABs3OXNYgJR_Nm1nYGHnuTgDLDYm2Rf5_p1g-jM-oLxm2umrhcDPzCkfMKLIQM-aVvX8lm2xrzq15K-tZzInXZrunQqsCncmBSzhEsdbeY-gaPITkLeWfL-CHIpnw/280x210,3983.13,0.106841944158,Minimal Wear,csfloat
11,Butterfly Knife | Fade,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GKqPH1N77ummJW4NE_3erHotSg2wbn-0tkZ2r3d4aUcwE4N1HR_QS_xe7sjZPv7ZzMwHVi7D5iuyh9aKz8BA/280x210,3549.98,0.001309201936,Factory New,csfloat
12,Flip Knife | Doppler,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1f_BYQJD4eOym5Cbm_LmDKvZl3hUufp9g-7J4cKti1Hm8xJkZ22lcNKSIwE6NQnUr1S7xLu5hZ676MiYnXtmuSBx537bgVXp1gHAfnds/280x210,216.05,0.011007501744,Factory New (Phase 1),csfloat
13,Glock-18 | Dragon Tattoo,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgposbaqKAxf0v73dS9D69O4q4eHmPT_DLfYkWNFppUl07CU89r3igHj-xc4Z2CicoeXJwY9ZAnVqAe7kL_pjMK8vZrLz3J9-n51OBEjsBw/280x210,204.89,0.009212370031,StatTrak™ Factory New,csfloat
14,Butterfly Knife | Marble Fade,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GGqPr1Ibndk1RX6cF0teXI8oThxlG1rRA5Z2rzdtfHeldqZ13U-QO-w-jth8C4upzOnyFguSUq4XndyUepwUYb00RQWkk/280x210,2154.5,0.002433771035,Factory New,csfloat
15,Gut Knife | Doppler,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf1ObcTjxP08-3hJCDnuXxDLbQhGld7cxrj-3--YXygED6_BY4YDj2LIfHdgRvZl-ErAPsyezqhZC-uM6bnydmuHIm7HzZzBXhgQYMMLIwNRIYSA/280x210,250.45,0.008006170392,Factory New (Sapphire),csfloat
16,Butterfly Knife | Fade,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GKqPH1N77ummJW4NE_3erHotSg2wbn-0tkZ2r3d4aUcwE4N1HR_QS_xe7sjZPv7ZzMwHVi7D5iuyh9aKz8BA/280x210,3378.5,0.007820074446,Factory New,csfloat
17,AWP | Lightning Strike,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot621FAZt7P_BdjVW4tW4k7-KgOfLP7LWnn8fsJEh0uuR9I6m3gbi_Uppamn2d4CTcVc4NFDZ_Qe4x-rmgMPtuZucnGwj5He2etKLyw/280x210,610.71,0.005296123680,StatTrak™ Factory New,csfloat
18,Bayonet | Doppler,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotLu8JAllx8zJfAJG48ymmIWZqOf8MqjUxFRd4cJ5nqfEoYqt3Vfkrko9Yj2nINfEJwRsaFzXrwK4wbzohpK678zBnSFjvSkm-z-DyO0Gjtp3/280x210,520.28,0.029791640118,Factory New (Phase 2),csfloat
19,Specialist Gloves | Crimson Kimono,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DAQ1h3LAVbv6mxFABs3OXNYgJR_Nm1nYGHnuTgDLDYm2Rf5_p1g-jM-oLxm2umrhcDPjynfcPIbAM9ZVvZ_1i_x7vtgMW8vZXKzXVh6SQr5CvfyxCwhRgZbuZm0PHLTw6AR_sebbIuqqc/280x210,1742.92,0.380041241646,Well-Worn,csfloat
20,Butterfly Knife | Slaughter,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GGqO3xManQqWdY781lxLqTrY-s31WwrxBqMG32cYfAdQRrNQ3Zr1nsyefvhsfqtJzBwHRl7yc8pSGKoByGT5o/280x210,2150.05,0.014050417580,Factory New,csfloat
21,Glock-18 | Fade,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgposbaqKAxf0vL3dzxG6eO6nYeDg7n1a-6GkDoC7pMp3rGYpNqiiQ23-UM5ZT-hcIeQJgZsMFvR_lTox7i-m9bi6-pjfulG/280x210,1439.44,0.000296766550,Factory New,csfloat
22,Bayonet | Case Hardened,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpotLu8JAllx8zJYAJN5dCzkL-GkvP9JrafkzkE7ZcljOqR8Yj3iwXl_EVsamiiLNeUclM8ZgrYqFG3wO7ogJG4uIOJlyVpkyA02g/280x210,158.05,0.268624722958,Field-Tested,csfloat
23,Butterfly Knife | Freehand,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GGqPr1IbDUklRE-Poo2tbN_Iv9nBq1_ks9Y2umLYfDcAA5ZFiB_APowenm0cK8tMmcz3cxvSch4yrYnES2n1gSOXArQMaC/280x210,1147.67,0.005574672017,Factory New,csfloat
24,Butterfly Knife | Freehand,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GGqPr1IbDUklRE-Poo2tbN_Iv9nBq1_ks9Y2umLYfDcAA5ZFiB_APowenm0cK8tMmcz3cxvSch4yrYnES2n1gSOXArQMaC/280x210,1147.66,0.006520952564,Factory New,csfloat
25,Titan (Foil) | Katowice 2015,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXQ9QVcJY8gulRYX0DbRvCiwMbQVg8kdFEYorOxKglf1fzBfXMa74TiwYGNwfOsZe3Sxj5Q68Aj2rqYodin2wbhrhI9Nj_wctedIwJqfxiOrdXlsgIL/280x210,180.56,No disponible,Exotic Sticker,csfloat
26,Titan (Foil) | Katowice 2015,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXQ9QVcJY8gulRYX0DbRvCiwMbQVg8kdFEYorOxKglf1fzBfXMa74TiwYGNwfOsZe3Sxj5Q68Aj2rqYodin2wbhrhI9Nj_wctedIwJqfxiOrdXlsgIL/280x210,180.56,No disponible,Exotic Sticker,csfloat
27,Butterfly Knife | Marble Fade,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GGqPr1Ibndk1RX6cF0teXI8oThxlG1rRA5Z2rzdtfHeldqZ13U-QO-w-jth8C4upzOnyFguSUq4XndyUepwUYb00RQWkk/280x210,2152.36,0.004812994506,Factory New,csfloat
28,AWP | Desert Hydra,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot621FABz7PLfYQJK9diklb-DkvbiKvWCxT1V65UniL7EoNun3VewrhFsYGv1d4KWcQM_Ml-C_FLrxuzrhpLoot2XnrL2WoDF/280x210,934.67,0.526867508888,Souvenir Battle-Scarred,csfloat
29,Butterfly Knife | Fade,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GKqPH1N77ummJW4NE_3erHotSg2wbn-0tkZ2r3d4aUcwE4N1HR_QS_xe7sjZPv7ZzMwHVi7D5iuyh9aKz8BA/280x210,3463.08,0.007871169597,Factory New,csfloat
30,Sport Gloves | Hedge Maze,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DAQ1JmMR1osbaqPQJz7ODYfi9W9eOxhoWOmcj4OrzZgiUGvpEn3-yUp9usiVXtqEJsZ2nycIaWdlU8aFHT_AO5yOu6hMTuvJic1zI97ZFyOF04/280x210,10092.97,0.103832311928,Minimal Wear,csfloat
31,Butterfly Knife | Marble Fade,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GGqPr1Ibndk1RX6cF0teXI8oThxlG1rRA5Z2rzdtfHeldqZ13U-QO-w-jth8C4upzOnyFguSUq4XndyUepwUYb00RQWkk/280x210,2050.09,0.009790207259,Factory New,csfloat
32,AK-47 | Gold Arabesque,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpot7HxfDhnwMzJemkV09u5mIS0luX1Mb7Ch35U18l4jeHVu4ij3lW38hVuMGnyddSSIAU5ZwyF8gS7w---1pK0upvImHRl6yZ04HvD30vgkWvtgYA/280x210,4236.96,0.056308411062,Souvenir Factory New,csfloat
33,Specialist Gloves | Crimson Kimono,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DAQ1h3LAVbv6mxFABs3OXNYgJR_Nm1nYGHnuTgDLDYm2Rf5_p1g-jM-oLxm2umrhcDPjynfcPIbAM9ZVvZ_1i_x7vtgMW8vZXKzXVh6SQr5CvfyxCwhRgZbuZm0PHLTw6AR_sebbIuqqc/280x210,2296.63,0.197994634509,Field-Tested,csfloat
34,Butterfly Knife | Doppler,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GGqOT1I6vZn3lU18hwmOvN8IXvjVCLqSwwOj6rYJiTdQE7NQuEqFS7x7q9hpHovZrPmnpq6HJ24XmJzUDjgBpOarBug_fKVxzAUBpccViW/280x210,11283.52,0.032872881740,Factory New (Sapphire),csfloat
35,Butterfly Knife | Marble Fade,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GGqPr1Ibndk1RX6cF0teXI8oThxlG1rRA5Z2rzdtfHeldqZ13U-QO-w-jth8C4upzOnyFguSUq4XndyUepwUYb00RQWkk/280x210,2161.12,0.004575125873,Factory New,csfloat
36,Butterfly Knife | Marble Fade,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf0ebcZThQ6tCvq4GGqPr1Ibndk1RX6cF0teXI8oThxlG1rRA5Z2rzdtfHeldqZ13U-QO-w-jth8C4upzOnyFguSUq4XndyUepwUYb00RQWkk/280x210,2154.56,0.007875282317,Factory New,csfloat
37,Karambit | Case Hardened,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf2PLacDBA5ciJlZG0mP74Nr_um25V4dB8xO-WrY7z2Ffs_RI_amDyJdCTdw45ZA2C-Fi9lObsgJPt6ZrMzXJjvSA8pSGK2tpG8Vg/280x210,612.74,0.431235641241,Well-Worn,csfloat
38,M9 Bayonet | Fade,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgpovbSsLQJf3qr3czxb49KzgL-KlsjyMr_UqWdY781lxLnFoNygiwfnqUNla2ihJ4XGclNqZ17U_Vm7yO7v1MPpu5mYzHBr6CI8pSGKferYZ_4/280x210,1803.3,0.000863980211,StatTrak™ Factory New,csfloat
39,Glock-18 | Fade,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DEVlxkKgposbaqKAxf0vL3dzxG6eO6nYeDg7n1a-6GkDoC7pMp3rGYpNqiiQ23-UM5ZT-hcIeQJgZsMFvR_lTox7i-m9bi6-pjfulG/280x210,1494.7,0.000647974724,Factory New,csfloat
40,Specialist Gloves | Crimson Kimono,https://community.cloudflare.steamstatic.com/economy/image/-9a81dlWLwJ2UUGcVs_nsVtzdOEdtWwKGZZLQHTxDZ7I56KU0Zwwo4NUX4oFJZEHLbXH5ApeO4YmlhxYQknCRvCo04DAQ1h3LAVbv6mxFABs3OXNYgJR_Nm1nYGHnuTgDLDYm2Rf5_p1g-jM-oLxm2umrhcDPjynfcPIbAM9ZVvZ_1i_x7vtgMW8vZXKzXVh6SQr5CvfyxCwhRgZbuZm0PHLTw6AR_sebbIuqqc/280x210,1739.02,0.386475980282,Well-Worn,csfloat
